statNm,statId,chgerId,chgerType,addr,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,s,l,output,method,zcode,zscode,kind,kindDetail,parkingFree,limitYn,delYn,statUpdDt,lastTsdt,FALSE,,
홈플러스 시흥점,ME000029,1,3,서울특별시 금천구 시흥대로 201,37.45222814,126.9009394,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02108E+13,2.01904E+13,50,단독,11,11545,E0,E001,N,N,N,2021-08-03 11:08:10,2019-04-27 12:46:33,,,
제일모직아울렛 건너편(공중전화부스),ME000031,1,6,서울특별시 금천구 가산동 239-27,37.4744454,126.8867302,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02206E+13,2.02206E+13,50,단독,11,11545,G0,G003,N,N,N,2022-06-21 13:58:10,2022-06-21 08:22:15,,,
영등포구 대신시장(공중전화부스),ME000032,1,6,서울특별시 영등포구 신길1동 116-15,37.5113404,126.9176919,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02208E+13,2.02208E+13,50,단독,11,11560,G0,G003,N,N,N,2022-08-11 12:48:10,2022-08-11 10:25:15,,,
동작주차공원 공영주차장,ME000035,1,6,서울특별시 동작구 현충로 213,37.503803,126.976775,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02109E+13,2.02107E+13,50,단독,11,11590,B0,B001,Y,N,N,2021-09-10 10:33:10,2021-07-31 17:33:32,,,
조원동 제1공영주차장,ME000036,1,6,서울특별시 관악구 신림동 571-6,37.481069,126.905703,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02208E+13,2.02208E+13,50,단독,11,11620,B0,B001,N,N,N,2022-08-11 12:48:10,2022-08-11 10:46:43,,,
사당역 공영주차장,ME000037,1,3,서울특별시 서초구 과천대로 950-18,37.475256,126.982638,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02109E+13,2.02109E+13,50,단독,11,11650,B0,B001,Y,N,N,2021-09-10 09:53:10,2021-09-08 16:34:08,,,
이마트 양재점,ME000038,1,3,서울특별시 서초구 매헌로 16,37.463293,127.036812,09:00~24:00,ME,환경부,환경부,1661-9408,9,2.0211E+13,2.02107E+13,50,단독,11,11650,E0,E001,N,N,N,2021-10-07 15:48:10,2021-07-01 21:52:24,,,
수서역 공영주차장,ME000039,1,3,서울특별시 강남구 수서동 735,37.487569,127.101016,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02109E+13,2.02109E+13,50,단독,11,11680,B0,B001,Y,N,N,2021-09-10 09:53:10,2021-09-08 15:52:18,,,
학여울역 공영주차장,ME000040,1,3,서울특별시 강남구 남부순환로 3104,37.496722,127.070444,05:00~익일01:00,ME,환경부,환경부,1661-9408,9,2.0211E+13,2.0211E+13,50,단독,11,11680,B0,B001,Y,N,N,2021-10-21 15:33:10,2021-10-05 18:39:47,,,
롯데마트 잠실점,ME000044,1,3,서울특별시 송파구 올림픽로 240,37.511818,127.096321,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02111E+13,2.02111E+13,50,단독,11,11710,E0,E001,N,N,N,2021-11-17 14:08:10,2021-11-13 13:42:32,,,
